證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","16168656","1619067920","100.80","101.00","99.55","99.75","-1.3500","18345"
"0051","元大中型100","18768","935032","49.68","49.87","49.68","49.68","-0.1200","147"
"0052","富邦科技","120032","10124718","85.15","85.15","83.70","83.70","-1.3500","363"
"0053","元大電子","1032","51084","49.50","49.50","49.50","49.50","-0.0100","4"
"0055","元大MSCI金融","188976","3886063","20.73","20.73","20.40","20.43","-0.2500","389"
"0056","元大高股息","181769611","4348857123","23.93","24.08","23.70","23.95","0.0000","89853"
"0057","富邦摩台","1973","141426","72.25","72.25","72.25","72.25","0.1000","872"
"0061","元大寶滬深","402031","7310720","18.33","18.42","18.14","18.16","-0.2600","779"
"006203","元大MSCI台灣","12117","594999","49.29","49.29","48.78","48.78","-0.2200","813"
"006204","永豐臺灣加權","28286","1842502","65.45","65.60","65.00","65.00","0.0000","1047"
"006205","富邦上証","1195981","36155808","30.73","30.74","30.10","30.12","-0.6200","1070"
"006206","元大上證50","149768","4307806","29.25","29.33","28.63","28.63","-0.7500","1034"
"006207","FH滬深","164198","3937578","24.01","24.22","23.72","23.72","-0.4900","999"
"006208","富邦台50","4351582","251035385","58.00","58.10","57.25","57.25","-0.7500","5650"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","9540351","755480060","78.90","79.90","77.70","77.80","-1.3500","3770"
"00632R","元大台灣50反1","168413983","1095716635","6.50","6.56","6.46","6.56","0.0600","6051"
"00633L","富邦上証正2","7231274","278976481","39.21","39.45","37.93","37.95","-1.2600","2097"
"00634R","富邦上証反1","936201","4482126","4.74","4.82","4.74","4.82","0.1000","111"
"00635U","期元大S&P黃金","319793","6910055","21.64","21.68","21.57","21.59","-0.1600","122"
"00636","國泰中國A50","2233808","46090352","20.96","21.02","20.57","20.57","-0.4500","1549"
"00636K","國泰中國A50+U","200","1290","6.45","6.45","6.45","6.45","-0.1600","2"
"00637L","元大滬深300正2","67746340","1028495336","15.40","15.48","14.87","14.87","-0.5200","9309"
"00638R","元大滬深300反1","425000","4350400","10.21","10.35","10.16","10.35","0.1700","90"
"00639","富邦深100","945098","11800315","12.72","12.72","12.42","12.44","-0.2900","492"
"00640L","富邦日本正2","398112","10896219","27.40","27.46","27.24","27.36","0.1800","66"
"00641R","富邦日本反1","540000","5362760","9.92","9.95","9.92","9.95","-0.0100","103"
"00642U","期元大S&P石油","2877087","51159087","17.82","17.85","17.74","17.75","-0.4900","938"
"00643","群益深証中小","296816","4447548","15.10","15.12","14.86","14.86","-0.2500","901"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","90947","2310476","25.45","25.45","25.35","25.39","-0.0100","866"
"00646","元大S&P500","619478","22946321","37.06","37.16","36.95","36.95","0.0800","531"
"00647L","元大S&P500正2","421359","20687024","49.19","49.34","48.95","48.96","0.1800","163"
"00648R","元大S&P500反1","3481100","27584585","7.91","7.95","7.89","7.95","0.0000","334"
"00650L","FH香港正2","4611210","48880882","10.60","10.77","10.43","10.44","-0.1900","736"
"00651R","FH香港反1","458000","4776630","10.47","10.52","10.34","10.52","0.1500","50"
"00652","富邦印度","142843","4288141","29.96","30.12","29.96","30.12","0.1700","380"
"00653L","富邦印度正2","463077","20509548","44.06","44.55","44.05","44.48","0.4400","137"
"00654R","富邦印度反1","667000","5466230","8.19","8.22","8.18","8.18","-0.0100","87"
"00655L","國泰中國A50正2","2447833","65934667","27.35","27.55","26.50","26.50","-0.9300","766"
"00656R","國泰中國A50反1","322000","2923120","8.99","9.15","8.99","9.15","0.1700","30"
"00657","國泰日經225","3707","116753","31.77","31.77","31.57","31.57","0.0100","699"
"00657K","國泰日經225+U","200","1978","9.89","9.89","9.89","9.89","0.0400","2"
"00660","元大歐洲50","611","14946","","","","","0.0000","611"
"00661","元大日經225","1722","58508","34.30","34.30","34.30","34.30","0.0000","713"
"00662","富邦NASDAQ","428636","19919990","46.58","46.64","46.30","46.30","-0.0400","302"
"00663L","國泰臺灣加權正2","100100","7252798","72.60","73.15","71.60","71.60","-1.2000","32"
"00664R","國泰臺灣加權反1","4967013","36504291","7.34","7.40","7.31","7.40","0.0600","448"
"00665L","富邦恒生國企正2","6507801","44324199","6.82","6.95","6.69","6.69","-0.1600","585"
"00666R","富邦恒生國企反1","170000","3145370","18.36","18.60","18.33","18.60","0.2200","22"
"00668","國泰美國道瓊","102258","3641250","35.61","35.67","35.54","35.58","0.1200","872"
"00668K","國泰美國道瓊+U","200","2226","11.13","11.13","11.13","11.13","0.0400","2"
"00669R","國泰美國道瓊反1","7532000","66223470","8.77","8.81","8.76","8.81","-0.0100","585"
"00670L","富邦NASDAQ正2","3891565","208393954","53.75","54.00","53.20","53.20","-0.3000","1250"
"00671R","富邦NASDAQ反1","19783400","129072004","6.51","6.56","6.50","6.56","0.0400","1123"
"00673R","期元大S&P原油反1","44770362","389147858","8.66","8.73","8.66","8.73","0.2200","3088"
