statistic_yyy;according;site_id;marriage_type;female_age_or_spouse1;male_age_or_spouse2;marry_pair;site_id2
﻿110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;19歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;21歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;22歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;23歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;24歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;25歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;26歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;27歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;28歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;29歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;30歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;31歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;32歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;33歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;34歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;35～39歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;40～44歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;未滿15歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;19歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;21歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;22歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;23歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;24歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;25歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;26歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;27歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;28歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;29歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;30歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;31歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;32歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;33歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;34歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;35～39歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;40～44歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;15歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;18歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;19歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;21歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;22歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;23歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;24歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;25歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;26歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;27歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;28歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;29歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;30歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;31歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;32歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;33歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;34歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;35～39歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;40～44歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;16歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;18歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;19歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;21歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;22歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;23歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;24歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;25歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;26歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;27歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;28歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;29歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;30歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;31歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;32歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;33歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;34歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;35～39歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;40～44歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;17歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;19歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;20歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;21歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;22歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;23歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;24歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;25歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;26歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;27歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;28歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;29歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;30歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;31歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;32歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;33歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;34歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;35～39歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;40～44歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;18歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;18歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;19歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;21歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;22歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;23歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;24歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;25歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;26歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;27歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;28歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;29歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;30歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;31歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;32歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;33歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;34歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;35～39歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;40～44歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;45～54歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;55～64歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;19歲;65歲以上;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;未滿15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;15歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;16歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;17歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;18歲;2;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;19歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;20歲;0;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;21歲;1;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;22歲;3;桃園區
110;按登記日期分;桃園市桃園區;不同性別;20歲;23歲;2;桃園區
