year,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
2001,0.000800000000000000000000000000,0.001200000000000000000000000000,0.000400000000000000000000000000,0.002200000000000000000000000000,0.011600000000000000000000000000,0.059900000000000000000000000000,0.107800000000000000000000000000,0.017800000000000000000000000000,0.001800000000000000000000000000,0.013100000000000000000000000000,0.125800000000000000000000000000,0.007700000000000000000000000000,0.007900000000000000000000000000,0.002500000000000000000000000000,0.108000000000000000000000000000,0.491700000000000000000000000000,0.010600000000000000000000000000,0.029100000000000000000000000000,0.012300000000000000000000000000
2002,0.000600000000000000000000000000,0.000900000000000000000000000000,0.000400000000000000000000000000,0.001800000000000000000000000000,0.008500000000000000000000000000,0.057900000000000000000000000000,0.097400000000000000000000000000,0.013700000000000000000000000000,0.001400000000000000000000000000,0.011500000000000000000000000000,0.098000000000000000000000000000,0.005200000000000000000000000000,0.006400000000000000000000000000,0.001700000000000000000000000000,0.106600000000000000000000000000,0.538200000000000000000000000000,0.007300000000000000000000000000,0.042700000000000000000000000000,0.010800000000000000000000000000
2003,0.000600000000000000000000000000,0.000900000000000000000000000000,0.000400000000000000000000000000,0.001500000000000000000000000000,0.010400000000000000000000000000,0.059100000000000000000000000000,0.092400000000000000000000000000,0.010200000000000000000000000000,0.001200000000000000000000000000,0.009900000000000000000000000000,0.082000000000000000000000000000,0.003500000000000000000000000000,0.005200000000000000000000000000,0.001300000000000000000000000000,0.108500000000000000000000000000,0.512300000000000000000000000000,0.010900000000000000000000000000,0.089700000000000000000000000000,0.010700000000000000000000000000
2004,0.000600000000000000000000000000,0.000700000000000000000000000000,0.000400000000000000000000000000,0.001400000000000000000000000000,0.015200000000000000000000000000,0.064100000000000000000000000000,0.095900000000000000000000000000,0.008000000000000000000000000000,0.001000000000000000000000000000,0.008500000000000000000000000000,0.068100000000000000000000000000,0.002800000000000000000000000000,0.005000000000000000000000000000,0.001500000000000000000000000000,0.097300000000000000000000000000,0.492600000000000000000000000000,0.009900000000000000000000000000,0.127100000000000000000000000000,0.009500000000000000000000000000
2005,0.001000000000000000000000000000,0.000600000000000000000000000000,0.000300000000000000000000000000,0.001400000000000000000000000000,0.012100000000000000000000000000,0.071900000000000000000000000000,0.100200000000000000000000000000,0.007000000000000000000000000000,0.000900000000000000000000000000,0.007300000000000000000000000000,0.059600000000000000000000000000,0.002500000000000000000000000000,0.005500000000000000000000000000,0.001900000000000000000000000000,0.102600000000000000000000000000,0.482700000000000000000000000000,0.006700000000000000000000000000,0.135700000000000000000000000000,0.010900000000000000000000000000
2006,0.001300000000000000000000000000,0.000500000000000000000000000000,0.000200000000000000000000000000,0.001300000000000000000000000000,0.015300000000000000000000000000,0.067800000000000000000000000000,0.094400000000000000000000000000,0.006200000000000000000000000000,0.000700000000000000000000000000,0.006200000000000000000000000000,0.051200000000000000000000000000,0.002000000000000000000000000000,0.005100000000000000000000000000,0.004600000000000000000000000000,0.096800000000000000000000000000,0.492100000000000000000000000000,0.006000000000000000000000000000,0.148500000000000000000000000000,0.009400000000000000000000000000
2007,0.000900000000000000000000000000,0.000400000000000000000000000000,0.000200000000000000000000000000,0.001400000000000000000000000000,0.016200000000000000000000000000,0.084000000000000000000000000000,0.096100000000000000000000000000,0.005400000000000000000000000000,0.000600000000000000000000000000,0.005900000000000000000000000000,0.043000000000000000000000000000,0.001700000000000000000000000000,0.004500000000000000000000000000,0.005200000000000000000000000000,0.094400000000000000000000000000,0.473800000000000000000000000000,0.005100000000000000000000000000,0.161300000000000000000000000000,0.008300000000000000000000000000
2008,0.001000000000000000000000000000,0.000400000000000000000000000000,0.000300000000000000000000000000,0.001800000000000000000000000000,0.033500000000000000000000000000,0.093000000000000000000000000000,0.092800000000000000000000000000,0.005100000000000000000000000000,0.000400000000000000000000000000,0.005500000000000000000000000000,0.038700000000000000000000000000,0.001500000000000000000000000000,0.004100000000000000000000000000,0.012100000000000000000000000000,0.083000000000000000000000000000,0.437900000000000000000000000000,0.005100000000000000000000000000,0.183800000000000000000000000000,0.008300000000000000000000000000
2009,0.001200000000000000000000000000,0.000600000000000000000000000000,0.000300000000000000000000000000,0.002600000000000000000000000000,0.015300000000000000000000000000,0.092700000000000000000000000000,0.098900000000000000000000000000,0.004300000000000000000000000000,0.000500000000000000000000000000,0.005700000000000000000000000000,0.039700000000000000000000000000,0.001300000000000000000000000000,0.004800000000000000000000000000,0.022200000000000000000000000000,0.072200000000000000000000000000,0.469400000000000000000000000000,0.008800000000000000000000000000,0.159400000000000000000000000000,0.008200000000000000000000000000
2010,0.001300000000000000000000000000,0.000600000000000000000000000000,0.000300000000000000000000000000,0.002600000000000000000000000000,0.016600000000000000000000000000,0.094300000000000000000000000000,0.098000000000000000000000000000,0.003800000000000000000000000000,0.000300000000000000000000000000,0.005000000000000000000000000000,0.034800000000000000000000000000,0.001200000000000000000000000000,0.006600000000000000000000000000,0.017600000000000000000000000000,0.062900000000000000000000000000,0.473100000000000000000000000000,0.009700000000000000000000000000,0.171300000000000000000000000000,0.007500000000000000000000000000
