年,抽蓄水力,核能,火力,再生能源
71,0,3242,7236,1391
72,0,3242,7736,1435
73,0,4193,7284,1483
74,1000,5144,8334,1493
75,1000,5144,8884,1567
76,1000,5144,8884,1561
77,1000,5144,8884,1561
78,1000,5144,8884,1566
79,1000,5144,9174,1565
80,1000,5144,10674,1565
81,1000,5144,11523,1580
82,1000,5144,11634,1576
83,2068,5144,12190,1580
84,2602,5144,12570,1581
85,2602,5144,14330,1686
86,2602,5144,16303,1686
87,2602,5144,17114,1820
88,2602,5144,18915,1820
89,2602,5144,20069,1820
90,2602,5144,20568,1822
91,2602,5144,22258,1911
92,2602,5144,23632,1911
93,2602,5144,24939,1913
94,2602,5144,26448,1928
95,2602,5144,27618,2008
96,2602,5144,28233,2103
97,2602,5144,28704,2184
98,2602,5144,30194,2307
99,2602,5144,30717,2449
100,2602,5144,30425,3230
101,2602,5144,29827,3404
102,2602,5144,29839,3595
103,2602,5144,29267,3773
104,2602,5144,29267,4023
105,2602,5144,30065,4321
106,2602,5144,29348,4792
107,2602,4508,31640,5874
108,2602,3872,34151,7154
109,2602,3872,34099,9201
110,2602,2887,34639,11026
